Target,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Year
1,0,0,0,0,1,0,0,1,1,0,0,0,1864
1,1,1,0,0,0,0,1,1,1,0,1,0,1868
1,1,1,0,0,1,0,1,0,0,0,1,0,1872
1,1,0,0,1,0,0,1,1,0,0,0,0,1880
1,0,0,0,0,1,0,0,0,0,0,0,0,1888
1,0,1,0,0,1,0,1,0,0,0,0,1,1900
1,1,1,0,0,1,0,1,0,0,0,1,0,1904
1,1,1,0,0,0,1,0,1,0,0,0,0,1908
1,0,0,0,0,1,0,0,1,0,0,0,0,1916
1,0,1,1,0,1,0,1,1,0,1,0,0,1924
1,1,1,0,0,0,0,1,0,0,0,0,0,1928
1,0,1,0,0,1,1,1,1,0,0,1,0,1936
1,1,1,0,0,1,1,1,1,0,0,1,0,1940
1,1,1,0,0,1,0,1,1,0,0,1,0,1944
1,1,1,1,0,1,0,0,1,0,0,0,0,1948
1,0,1,0,0,1,0,1,0,0,0,1,0,1956
1,0,0,0,0,1,0,1,0,0,0,0,0,1964
1,0,0,0,0,1,0,0,1,1,0,0,0,1972
0,1,0,1,1,0,0,1,0,1,0,0,0,1860
0,1,1,0,1,0,1,0,0,0,1,0,0,1876
0,1,0,0,1,0,0,1,0,1,0,1,0,1884
0,0,0,1,0,1,0,0,1,1,0,0,1,1892
0,0,0,0,1,0,1,0,1,1,0,1,0,1896
0,1,1,1,1,1,0,1,0,0,0,0,0,1912
0,1,0,0,1,0,1,0,1,1,0,0,0,1920
0,1,1,0,0,1,1,0,0,1,0,0,1,1932
0,1,0,0,1,0,0,0,0,0,1,0,1,1952
0,1,1,0,0,0,1,0,0,0,0,0,1,1960
0,1,1,1,1,0,0,1,1,1,0,0,0,1968
0,1,1,0,1,1,0,0,0,0,1,0,0,1976
0,0,0,1,1,1,1,1,0,0,1,0,1,1980
