Residuary_resistance_per_unit_weight_of_displacement,Longitudinal_position_of_the_center_of_buoyancy,Prismatic_coefficient,Length_displacement_ratio, Beam_draught_ratio,Length_beam_ratio,Froude_number
0.11,-2.3,0.568,4.78,3.99,3.17,0.125
0.27,-2.3,0.568,4.78,3.99,3.17,0.15
0.47,-2.3,0.568,4.78,3.99,3.17,0.175
0.78,-2.3,0.568,4.78,3.99,3.17,0.2
1.18,-2.3,0.568,4.78,3.99,3.17,0.225
1.82,-2.3,0.568,4.78,3.99,3.17,0.25
2.61,-2.3,0.568,4.78,3.99,3.17,0.275
3.76,-2.3,0.568,4.78,3.99,3.17,0.3
4.99,-2.3,0.568,4.78,3.99,3.17,0.325
7.16,-2.3,0.568,4.78,3.99,3.17,0.35
11.93,-2.3,0.568,4.78,3.99,3.17,0.375
20.11,-2.3,0.568,4.78,3.99,3.17,0.4
32.75,-2.3,0.568,4.78,3.99,3.17,0.425
49.49,-2.3,0.568,4.78,3.99,3.17,0.45
0.04,-2.3,0.569,4.78,3.04,3.64,0.125
0.17,-2.3,0.569,4.78,3.04,3.64,0.15
0.37,-2.3,0.569,4.78,3.04,3.64,0.175
0.66,-2.3,0.569,4.78,3.04,3.64,0.2
1.06,-2.3,0.569,4.78,3.04,3.64,0.225
1.59,-2.3,0.569,4.78,3.04,3.64,0.25
2.33,-2.3,0.569,4.78,3.04,3.64,0.275
3.29,-2.3,0.569,4.78,3.04,3.64,0.3
4.61,-2.3,0.569,4.78,3.04,3.64,0.325
7.11,-2.3,0.569,4.78,3.04,3.64,0.35
11.99,-2.3,0.569,4.78,3.04,3.64,0.375
21.09,-2.3,0.569,4.78,3.04,3.64,0.4
35.01,-2.3,0.569,4.78,3.04,3.64,0.425
51.8,-2.3,0.569,4.78,3.04,3.64,0.45
0.09,-2.3,0.565,4.78,5.35,2.76,0.125
0.29,-2.3,0.565,4.78,5.35,2.76,0.15
0.56,-2.3,0.565,4.78,5.35,2.76,0.175
0.86,-2.3,0.565,4.78,5.35,2.76,0.2
1.31,-2.3,0.565,4.78,5.35,2.76,0.225
1.99,-2.3,0.565,4.78,5.35,2.76,0.25
2.94,-2.3,0.565,4.78,5.35,2.76,0.275
4.21,-2.3,0.565,4.78,5.35,2.76,0.3
5.54,-2.3,0.565,4.78,5.35,2.76,0.325
8.25,-2.3,0.565,4.78,5.35,2.76,0.35
13.08,-2.3,0.565,4.78,5.35,2.76,0.375
21.4,-2.3,0.565,4.78,5.35,2.76,0.4
33.14,-2.3,0.565,4.78,5.35,2.76,0.425
50.14,-2.3,0.565,4.78,5.35,2.76,0.45
0.2,-2.3,0.564,5.1,3.95,3.53,0.125
0.35,-2.3,0.564,5.1,3.95,3.53,0.15
0.65,-2.3,0.564,5.1,3.95,3.53,0.175
0.93,-2.3,0.564,5.1,3.95,3.53,0.2
1.37,-2.3,0.564,5.1,3.95,3.53,0.225
1.97,-2.3,0.564,5.1,3.95,3.53,0.25
2.83,-2.3,0.564,5.1,3.95,3.53,0.275
3.99,-2.3,0.564,5.1,3.95,3.53,0.3
5.19,-2.3,0.564,5.1,3.95,3.53,0.325
8.03,-2.3,0.564,5.1,3.95,3.53,0.35
12.86,-2.3,0.564,5.1,3.95,3.53,0.375
21.51,-2.3,0.564,5.1,3.95,3.53,0.4
33.97,-2.3,0.564,5.1,3.95,3.53,0.425
50.36,-2.3,0.564,5.1,3.95,3.53,0.45
0.2,-2.4,0.574,4.36,3.96,2.76,0.125
0.35,-2.4,0.574,4.36,3.96,2.76,0.15
0.65,-2.4,0.574,4.36,3.96,2.76,0.175
0.93,-2.4,0.574,4.36,3.96,2.76,0.2
1.37,-2.4,0.574,4.36,3.96,2.76,0.225
1.97,-2.4,0.574,4.36,3.96,2.76,0.25
2.83,-2.4,0.574,4.36,3.96,2.76,0.275
3.99,-2.4,0.574,4.36,3.96,2.76,0.3
5.19,-2.4,0.574,4.36,3.96,2.76,0.325
8.03,-2.4,0.574,4.36,3.96,2.76,0.35
12.86,-2.4,0.574,4.36,3.96,2.76,0.375
21.51,-2.4,0.574,4.36,3.96,2.76,0.4
33.97,-2.4,0.574,4.36,3.96,2.76,0.425
50.36,-2.4,0.574,4.36,3.96,2.76,0.45
0.12,-2.4,0.568,4.34,2.98,3.15,0.125
0.26,-2.4,0.568,4.34,2.98,3.15,0.15
0.43,-2.4,0.568,4.34,2.98,3.15,0.175
0.69,-2.4,0.568,4.34,2.98,3.15,0.2
1.09,-2.4,0.568,4.34,2.98,3.15,0.225
1.67,-2.4,0.568,4.34,2.98,3.15,0.25
2.46,-2.4,0.568,4.34,2.98,3.15,0.275
3.43,-2.4,0.568,4.34,2.98,3.15,0.3
4.62,-2.4,0.568,4.34,2.98,3.15,0.325
6.86,-2.4,0.568,4.34,2.98,3.15,0.35
11.56,-2.4,0.568,4.34,2.98,3.15,0.375
20.63,-2.4,0.568,4.34,2.98,3.15,0.4
34.5,-2.4,0.568,4.34,2.98,3.15,0.425
54.23,-2.4,0.568,4.34,2.98,3.15,0.45
0.28,-2.3,0.562,5.14,4.95,3.17,0.125
0.44,-2.3,0.562,5.14,4.95,3.17,0.15
0.7,-2.3,0.562,5.14,4.95,3.17,0.175
1.07,-2.3,0.562,5.14,4.95,3.17,0.2
1.57,-2.3,0.562,5.14,4.95,3.17,0.225
2.23,-2.3,0.562,5.14,4.95,3.17,0.25
3.09,-2.3,0.562,5.14,4.95,3.17,0.275
4.09,-2.3,0.562,5.14,4.95,3.17,0.3
5.82,-2.3,0.562,5.14,4.95,3.17,0.325
8.28,-2.3,0.562,5.14,4.95,3.17,0.35
12.8,-2.3,0.562,5.14,4.95,3.17,0.375
20.41,-2.3,0.562,5.14,4.95,3.17,0.4
32.34,-2.3,0.562,5.14,4.95,3.17,0.425
47.29,-2.3,0.562,5.14,4.95,3.17,0.45
0.2,-2.4,0.585,4.78,3.84,3.32,0.125
0.38,-2.4,0.585,4.78,3.84,3.32,0.15
0.64,-2.4,0.585,4.78,3.84,3.32,0.175
0.97,-2.4,0.585,4.78,3.84,3.32,0.2
1.36,-2.4,0.585,4.78,3.84,3.32,0.225
1.98,-2.4,0.585,4.78,3.84,3.32,0.25
2.91,-2.4,0.585,4.78,3.84,3.32,0.275
4.35,-2.4,0.585,4.78,3.84,3.32,0.3
5.79,-2.4,0.585,4.78,3.84,3.32,0.325
8.04,-2.4,0.585,4.78,3.84,3.32,0.35
12.15,-2.4,0.585,4.78,3.84,3.32,0.375
19.18,-2.4,0.585,4.78,3.84,3.32,0.4
30.09,-2.4,0.585,4.78,3.84,3.32,0.425
44.38,-2.4,0.585,4.78,3.84,3.32,0.45
0.15,-2.2,0.546,4.78,4.13,3.07,0.125
0.32,-2.2,0.546,4.78,4.13,3.07,0.15
0.55,-2.2,0.546,4.78,4.13,3.07,0.175
0.86,-2.2,0.546,4.78,4.13,3.07,0.2
1.24,-2.2,0.546,4.78,4.13,3.07,0.225
1.76,-2.2,0.546,4.78,4.13,3.07,0.25
2.49,-2.2,0.546,4.78,4.13,3.07,0.275
3.45,-2.2,0.546,4.78,4.13,3.07,0.3
4.83,-2.2,0.546,4.78,4.13,3.07,0.325
7.37,-2.2,0.546,4.78,4.13,3.07,0.35
12.76,-2.2,0.546,4.78,4.13,3.07,0.375
21.99,-2.2,0.546,4.78,4.13,3.07,0.4
35.64,-2.2,0.546,4.78,4.13,3.07,0.425
53.07,-2.2,0.546,4.78,4.13,3.07,0.45
0.11,0,0.565,4.77,3.99,3.15,0.125
0.24,0,0.565,4.77,3.99,3.15,0.15
0.49,0,0.565,4.77,3.99,3.15,0.175
0.79,0,0.565,4.77,3.99,3.15,0.2
1.28,0,0.565,4.77,3.99,3.15,0.225
1.96,0,0.565,4.77,3.99,3.15,0.25
2.88,0,0.565,4.77,3.99,3.15,0.275
4.14,0,0.565,4.77,3.99,3.15,0.3
5.96,0,0.565,4.77,3.99,3.15,0.325
9.07,0,0.565,4.77,3.99,3.15,0.35
14.93,0,0.565,4.77,3.99,3.15,0.375
24.13,0,0.565,4.77,3.99,3.15,0.4
38.12,0,0.565,4.77,3.99,3.15,0.425
55.44,0,0.565,4.77,3.99,3.15,0.45
0.07,-5,0.565,4.77,3.99,3.15,0.125
0.18,-5,0.565,4.77,3.99,3.15,0.15
0.4,-5,0.565,4.77,3.99,3.15,0.175
0.7,-5,0.565,4.77,3.99,3.15,0.2
1.14,-5,0.565,4.77,3.99,3.15,0.225
1.83,-5,0.565,4.77,3.99,3.15,0.25
2.77,-5,0.565,4.77,3.99,3.15,0.275
4.12,-5,0.565,4.77,3.99,3.15,0.3
5.41,-5,0.565,4.77,3.99,3.15,0.325
7.87,-5,0.565,4.77,3.99,3.15,0.35
12.71,-5,0.565,4.77,3.99,3.15,0.375
21.02,-5,0.565,4.77,3.99,3.15,0.4
34.58,-5,0.565,4.77,3.99,3.15,0.425
51.77,-5,0.565,4.77,3.99,3.15,0.45
0.08,0,0.565,5.1,3.94,3.51,0.125
0.26,0,0.565,5.1,3.94,3.51,0.15
0.5,0,0.565,5.1,3.94,3.51,0.175
0.83,0,0.565,5.1,3.94,3.51,0.2
1.28,0,0.565,5.1,3.94,3.51,0.225
1.9,0,0.565,5.1,3.94,3.51,0.25
2.68,0,0.565,5.1,3.94,3.51,0.275
3.76,0,0.565,5.1,3.94,3.51,0.3
5.57,0,0.565,5.1,3.94,3.51,0.325
8.76,0,0.565,5.1,3.94,3.51,0.35
14.24,0,0.565,5.1,3.94,3.51,0.375
23.05,0,0.565,5.1,3.94,3.51,0.4
35.46,0,0.565,5.1,3.94,3.51,0.425
51.99,0,0.565,5.1,3.94,3.51,0.45
0.08,-5,0.565,5.1,3.94,3.51,0.125
0.24,-5,0.565,5.1,3.94,3.51,0.15
0.45,-5,0.565,5.1,3.94,3.51,0.175
0.77,-5,0.565,5.1,3.94,3.51,0.2
1.19,-5,0.565,5.1,3.94,3.51,0.225
1.76,-5,0.565,5.1,3.94,3.51,0.25
2.59,-5,0.565,5.1,3.94,3.51,0.275
3.85,-5,0.565,5.1,3.94,3.51,0.3
5.27,-5,0.565,5.1,3.94,3.51,0.325
7.74,-5,0.565,5.1,3.94,3.51,0.35
12.4,-5,0.565,5.1,3.94,3.51,0.375
20.91,-5,0.565,5.1,3.94,3.51,0.4
33.23,-5,0.565,5.1,3.94,3.51,0.425
49.14,-5,0.565,5.1,3.94,3.51,0.45
0.08,-2.3,0.53,5.11,3.69,3.51,0.125
0.25,-2.3,0.53,5.11,3.69,3.51,0.15
0.46,-2.3,0.53,5.11,3.69,3.51,0.175
0.75,-2.3,0.53,5.11,3.69,3.51,0.2
1.11,-2.3,0.53,5.11,3.69,3.51,0.225
1.57,-2.3,0.53,5.11,3.69,3.51,0.25
2.17,-2.3,0.53,5.11,3.69,3.51,0.275
2.98,-2.3,0.53,5.11,3.69,3.51,0.3
4.42,-2.3,0.53,5.11,3.69,3.51,0.325
7.84,-2.3,0.53,5.11,3.69,3.51,0.35
14.11,-2.3,0.53,5.11,3.69,3.51,0.375
24.14,-2.3,0.53,5.11,3.69,3.51,0.4
37.95,-2.3,0.53,5.11,3.69,3.51,0.425
55.17,-2.3,0.53,5.11,3.69,3.51,0.45
0.1,-2.3,0.53,4.76,3.68,3.16,0.125
0.23,-2.3,0.53,4.76,3.68,3.16,0.15
0.47,-2.3,0.53,4.76,3.68,3.16,0.175
0.76,-2.3,0.53,4.76,3.68,3.16,0.2
1.15,-2.3,0.53,4.76,3.68,3.16,0.225
1.65,-2.3,0.53,4.76,3.68,3.16,0.25
2.28,-2.3,0.53,4.76,3.68,3.16,0.275
3.09,-2.3,0.53,4.76,3.68,3.16,0.3
4.41,-2.3,0.53,4.76,3.68,3.16,0.325
7.51,-2.3,0.53,4.76,3.68,3.16,0.35
13.77,-2.3,0.53,4.76,3.68,3.16,0.375
23.96,-2.3,0.53,4.76,3.68,3.16,0.4
37.38,-2.3,0.53,4.76,3.68,3.16,0.425
56.46,-2.3,0.53,4.76,3.68,3.16,0.45
0.05,-2.3,0.53,4.34,2.81,3.15,0.125
0.17,-2.3,0.53,4.34,2.81,3.15,0.15
0.35,-2.3,0.53,4.34,2.81,3.15,0.175
0.63,-2.3,0.53,4.34,2.81,3.15,0.2
1.01,-2.3,0.53,4.34,2.81,3.15,0.225
1.43,-2.3,0.53,4.34,2.81,3.15,0.25
2.05,-2.3,0.53,4.34,2.81,3.15,0.275
2.73,-2.3,0.53,4.34,2.81,3.15,0.3
3.87,-2.3,0.53,4.34,2.81,3.15,0.325
7.19,-2.3,0.53,4.34,2.81,3.15,0.35
13.96,-2.3,0.53,4.34,2.81,3.15,0.375
25.18,-2.3,0.53,4.34,2.81,3.15,0.4
41.34,-2.3,0.53,4.34,2.81,3.15,0.425
62.42,-2.3,0.53,4.34,2.81,3.15,0.45
0.03,0,0.6,4.78,4.24,3.15,0.125
0.18,0,0.6,4.78,4.24,3.15,0.15
0.4,0,0.6,4.78,4.24,3.15,0.175
0.73,0,0.6,4.78,4.24,3.15,0.2
1.3,0,0.6,4.78,4.24,3.15,0.225
2.16,0,0.6,4.78,4.24,3.15,0.25
3.35,0,0.6,4.78,4.24,3.15,0.275
5.06,0,0.6,4.78,4.24,3.15,0.3
7.14,0,0.6,4.78,4.24,3.15,0.325
10.36,0,0.6,4.78,4.24,3.15,0.35
15.25,0,0.6,4.78,4.24,3.15,0.375
23.15,0,0.6,4.78,4.24,3.15,0.4
34.62,0,0.6,4.78,4.24,3.15,0.425
51.5,0,0.6,4.78,4.24,3.15,0.45
0.06,-5,0.6,4.78,4.24,3.15,0.125
0.15,-5,0.6,4.78,4.24,3.15,0.15
0.34,-5,0.6,4.78,4.24,3.15,0.175
0.63,-5,0.6,4.78,4.24,3.15,0.2
1.13,-5,0.6,4.78,4.24,3.15,0.225
1.85,-5,0.6,4.78,4.24,3.15,0.25
2.84,-5,0.6,4.78,4.24,3.15,0.275
4.34,-5,0.6,4.78,4.24,3.15,0.3
6.2,-5,0.6,4.78,4.24,3.15,0.325
8.62,-5,0.6,4.78,4.24,3.15,0.35
12.49,-5,0.6,4.78,4.24,3.15,0.375
20.41,-5,0.6,4.78,4.24,3.15,0.4
32.46,-5,0.6,4.78,4.24,3.15,0.425
50.94,-5,0.6,4.78,4.24,3.15,0.45
0.16,0,0.53,4.78,3.75,3.15,0.125
0.32,0,0.53,4.78,3.75,3.15,0.15
0.59,0,0.53,4.78,3.75,3.15,0.175
0.92,0,0.53,4.78,3.75,3.15,0.2
1.37,0,0.53,4.78,3.75,3.15,0.225
1.94,0,0.53,4.78,3.75,3.15,0.25
2.62,0,0.53,4.78,3.75,3.15,0.275
3.7,0,0.53,4.78,3.75,3.15,0.3
5.45,0,0.53,4.78,3.75,3.15,0.325
9.45,0,0.53,4.78,3.75,3.15,0.35
16.31,0,0.53,4.78,3.75,3.15,0.375
27.34,0,0.53,4.78,3.75,3.15,0.4
41.77,0,0.53,4.78,3.75,3.15,0.425
60.85,0,0.53,4.78,3.75,3.15,0.45
0.09,-5,0.53,4.78,3.75,3.15,0.125
0.24,-5,0.53,4.78,3.75,3.15,0.15
0.47,-5,0.53,4.78,3.75,3.15,0.175
0.78,-5,0.53,4.78,3.75,3.15,0.2
1.21,-5,0.53,4.78,3.75,3.15,0.225
1.85,-5,0.53,4.78,3.75,3.15,0.25
2.62,-5,0.53,4.78,3.75,3.15,0.275
3.69,-5,0.53,4.78,3.75,3.15,0.3
5.07,-5,0.53,4.78,3.75,3.15,0.325
7.95,-5,0.53,4.78,3.75,3.15,0.35
13.73,-5,0.53,4.78,3.75,3.15,0.375
23.55,-5,0.53,4.78,3.75,3.15,0.4
37.14,-5,0.53,4.78,3.75,3.15,0.425
55.87,-5,0.53,4.78,3.75,3.15,0.45
0.01,-2.3,0.6,5.1,4.17,3.51,0.125
0.16,-2.3,0.6,5.1,4.17,3.51,0.15
0.39,-2.3,0.6,5.1,4.17,3.51,0.175
0.73,-2.3,0.6,5.1,4.17,3.51,0.2
1.24,-2.3,0.6,5.1,4.17,3.51,0.225
1.96,-2.3,0.6,5.1,4.17,3.51,0.25
3.04,-2.3,0.6,5.1,4.17,3.51,0.275
4.46,-2.3,0.6,5.1,4.17,3.51,0.3
6.31,-2.3,0.6,5.1,4.17,3.51,0.325
8.68,-2.3,0.6,5.1,4.17,3.51,0.35
12.39,-2.3,0.6,5.1,4.17,3.51,0.375
20.14,-2.3,0.6,5.1,4.17,3.51,0.4
31.77,-2.3,0.6,5.1,4.17,3.51,0.425
47.13,-2.3,0.6,5.1,4.17,3.51,0.45
0.04,-2.3,0.6,4.34,4.23,2.73,0.125
0.17,-2.3,0.6,4.34,4.23,2.73,0.15
0.36,-2.3,0.6,4.34,4.23,2.73,0.175
0.64,-2.3,0.6,4.34,4.23,2.73,0.2
1.02,-2.3,0.6,4.34,4.23,2.73,0.225
1.62,-2.3,0.6,4.34,4.23,2.73,0.25
2.63,-2.3,0.6,4.34,4.23,2.73,0.275
4.15,-2.3,0.6,4.34,4.23,2.73,0.3
6,-2.3,0.6,4.34,4.23,2.73,0.325
8.47,-2.3,0.6,4.34,4.23,2.73,0.35
12.27,-2.3,0.6,4.34,4.23,2.73,0.375
19.59,-2.3,0.6,4.34,4.23,2.73,0.4
30.48,-2.3,0.6,4.34,4.23,2.73,0.425
46.66,-2.3,0.6,4.34,4.23,2.73,0.45
